Feature:,Flag:,Collapse Group:,Notes:
mh_smoker (half pk/day; 64 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; during 20s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (pipe for few yrs until 20 yo),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (pipe; 15yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (pipe; 30yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (unknown amount for 15 yrs; quit 1959),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (unknown amount; 60yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (unknown amount; during 20s and 30s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (unknown how much; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (unknown how much; quit 40 yrs ago),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (very little for a couple years),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker 1 pack /day for 40 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker 40yrs,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoking,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_social smoker (1-2 cigarettes/day from 1950s-60s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_social smoker (? How much; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_social smoker for 30yrs,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_CVA,MH: Stroke (CVA),Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_Cerebrovascular accident,MH: Stroke (CVA),Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_stroke,MH: Stroke (CVA),Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_stroke (1989),MH: Stroke (CVA),Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_TIA,MH: TIA (mini-stroke),TIA (mini-stroke),"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_transient ischemic attack (2012),MH: TIA (mini-stroke),TIA (mini-stroke),"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_TBI,MH: Traumatic brain injury (TBI),Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_Trauma to head from fall,MH: Traumatic brain injury (TBI),Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_head trauma,MH: Traumatic brain injury (TBI),Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_UTI,MH: Urinary tract infection (UTI),Urinary tract infection (UTI),
mh_UTI last week,MH: Urinary tract infection (UTI),Urinary tract infection (UTI),
mh_urinary tract infection,MH: Urinary tract infection (UTI),Urinary tract infection (UTI),
mh_Mitral valve prolapse (repaired),MH: Valvular heart disease,Valvular heart disease,Heart valve disease/replacement
mh_heart valve replacement,MH: Valvular heart disease,Valvular heart disease,Heart valve disease/replacement
mh_valve replacement,MH: Valvular heart disease,Valvular heart disease,Heart valve disease/replacement
mh_valvular disease,MH: Valvular heart disease,Valvular heart disease,Heart valve disease/replacement
mh_valvular heart disease,MH: Valvular heart disease,Valvular heart disease,Heart valve disease/replacement
oc_hemorrhage in the back of the eyes,OC: Eye hemorrhage,Vitreous hemorrhage,
oc_vitreous hemorrhage,OC: Eye hemorrhage,Vitreous hemorrhage,
oc_Glasses only recently,OC: Corrective glasses use,Wears corrective glasses,
oc_Wore reading glasses,OC: Corrective glasses use,Wears corrective glasses,
oc_glasses,OC: Corrective glasses use,Wears corrective glasses,
sex_bin,Demographic: sex,,Binary sex indicator
A69S_GG,Genotype: ARMS2 A69S variant,,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_GT,Genotype: ARMS2 A69S variant,,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_TT,Genotype: ARMS2 A69S variant,,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
Y402H_CC,Genotype: CFH Y402H variant,,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_CT,Genotype: CFH Y402H variant,,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_TT,Genotype: CFH Y402H variant,,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
mh_ARDS,MH: ARDS,,"ARDS = acute respiratory distress syndrome, an acute critical-illness event, not a chronic lung disease -- keep separate from COPD group."
mh_AML,MH: Acute myeloid leukemia (AML),,Distinct leukemia subtype from CML -- do not merge with CML.
mh_altered mental status,MH: Altered mental status / encephalopathy (unspecified),,Generic cognitive/consciousness disturbance not otherwise specified -- may overlap with liver-related encephalopathy above; verify context per row if possible.
mh_Alzheimer's depression,MH: Alzheimer's disease,,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"" -- the depression component should probably also count toward a depression flag if compound entries get split."
mh_anemia,MH: Anemia,,
mh_Aneurysm,MH: Aneurysm (site unspecified),,Ambiguous -- doesn't specify aortic vs. cerebral vs. other. Kept separate from the confirmed AAA group above pending verification.
mh_angina,MH: Angina,,"Chest pain symptom, typically a marker of underlying CAD -- consider grouping with CAD or keeping as its own symptom flag."
mh_angioedema,MH: Angioedema,,
mh_anxiety,MH: Anxiety,,
mh_aoritc stenosis,MH: Aortic stenosis,,"""mh_aoritc stenosis"" looks like a typo for ""aortic stenosis""."
mh_arthritis,MH: Arthritis (type unspecified),,"Generic ""arthritis"" without specifying RA vs. OA -- cannot be confidently merged into either specific bucket without more info; keep as its own ""unspecified"" category per your under-merging preference."
mh_asthma,MH: Asthma,,
mh_A. fib (pacemaker) - 2007; high cholesterol),MH: Atrial fibrillation,,"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib."
mh_CMF+Afib post op,MH: Atrial fibrillation,,"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib."
mh_smoker (1pk/day; 25yrs); A. Fib; heart disease; high cholesterol; Parkinson's; dementia),MH: Atrial fibrillation,,"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib."
mh_smoker (casual; 2 yrs); CHF; A. Fib; pleural effusion),MH: Atrial fibrillation,,"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib."
mh_clotting disorder,MH: Blood cell/coagulation abnormality,,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_hematuria,MH: Blood cell/coagulation abnormality,,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_leukocytosis,MH: Blood cell/coagulation abnormality,,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_leukopenia,MH: Blood cell/coagulation abnormality,,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_thrombocytopenia,MH: Blood cell/coagulation abnormality,,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_bowel obstruction,MH: Bowel obstruction/injury,,
mh_bowel perforation,MH: Bowel obstruction/injury,,
mh_ischemic bowel,MH: Bowel obstruction/injury,,
mh_ruptured bowel,MH: Bowel obstruction/injury,,
mh_basal ganglia infarction,MH: Brain hemorrhage/infarction (other),,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap.
mh_benign pituitary tumor,MH: Brain/pituitary tumor,,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
mh_brain tumor,MH: Brain/pituitary tumor,,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
mh_C.diff,MH: C. diff infection,,Clostridioides difficile intestinal infection.
mh_Cardiomyopathy,MH: Cardiomyopathy/cardiomegaly,,Structural heart muscle disease.
mh_cardiomegaly,MH: Cardiomyopathy/cardiomegaly,,Structural heart muscle disease.
mh_cardiomyopathy,MH: Cardiomyopathy/cardiomegaly,,Structural heart muscle disease.
mh_carotid surgery,MH: Carotid surgery (history),,"Vascular surgery, typically related to stroke risk -- consider whether to fold into vascular surgery group below."
mh_Pulmonary Mycobacterium complex,MH: Chronic lung disease (other),,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_aspergillis,MH: Chronic lung disease (other),,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_interstitial lung disease,MH: Chronic lung disease (other),,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_lung disease,MH: Chronic lung disease (other),,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_pulmonary fibrosis,MH: Chronic lung disease (other),,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_CLL,MH: Chronic lymphocytic leukemia (CLL),,Distinct leukemia subtype from AML/CML.
mh_CML,MH: Chronic myeloid leukemia (CML),,Distinct leukemia subtype from AML -- do not merge with AML.
mh_chronic pain,MH: Chronic pain,,
mh_colitis,MH: Colitis,,
mh_rectal cancer,MH: Colorectal cancer,,
mh_End stage cardiac disease,MH: Congestive heart failure (CHF),,CHF = congestive heart failure.
mh_pulmonary hypertension; diastolic heart failure; rheumatoid arthritis,MH: Congestive heart failure (CHF),,CHF = congestive heart failure.
mh_dehydration,MH: Dehydration,,
mh_depression/bipolar,MH: Depression,,"Includes a compound ""depression/bipolar"" entry -- consider whether to split into separate depression and bipolar flags."
mh_insulin in hospital,MH: Diabetes-related (insulin use),,"Inpatient insulin use -- likely a diabetes proxy, but not an explicit diabetes diagnosis; verify before treating as a diabetes flag."
mh_Diverticulitis,MH: Diverticulitis,,
mh_diverticulitis,MH: Diverticulitis,,
mh_dysphagia,MH: Dysphagia/dysphasia,,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_dysphasia,MH: Dysphagia/dysphasia,,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_esophagus and bladder surgically removed,MH: Esophageal cancer,,
mh_esphagitis,MH: Esophagitis,,"Likely typo for ""esophagitis""."
mh_Fibromyalgia,MH: Fibromyalgia,,
mh_fibromyalgia,MH: Fibromyalgia,,
mh_fractured right femur,MH: Fracture (history),,Isolated injury record.
mh_GERD,MH: GERD,,GERD = gastroesophageal reflux disease.
mh_GI bleed,MH: GI bleed,,
mh_gout,MH: Gout,,"A distinct crystal-induced arthritis, not OA or RA."
mh_endometrial cancer,MH: Gynecologic cancer,,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_metastatic ovarian cancer,MH: Gynecologic cancer,,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_heart history,MH: Heart disease (unspecified/generic),,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_heart tumor,MH: Heart disease (unspecified/generic),,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_smoker (1pk/day; 50yrs); heart disease; HBP; high cholesterol),MH: High cholesterol / hyperlipidemia,,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol)"
mh_smoker (?amount; during early 20s); hyperlipidemia; HTn; osteoarthritis),MH: High cholesterol / hyperlipidemia,,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol)"
mh_histoplasmosis,MH: Histoplasmosis,,Fungal infection.
mh_HN,MH: Hypertension (high blood pressure),,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTN (took meds),MH: Hypertension (high blood pressure),,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTN basal cell carcinoma,MH: Hypertension (high blood pressure),,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_fluctuating blood pressure,MH: Hypertension (high blood pressure),,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_incontinence due to age,MH: Incontinence,,
mh_Influenza A,MH: Influenza,,
mh_insomia,MH: Insomnia,,"""mh_insomia"" looks like a typo for ""insomnia""."
mh_mental retardation,MH: Intellectual disability,,
mh_hip replacement,MH: Joint replacement (non-cardiac),,
mh_kidney cancer,MH: Kidney cancer,,
mh_end stage renal disease,MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_hyperkalemia,MH: Kidney/renal disease,,Hyperkalemia (high blood potassium) is often a downstream symptom of kidney disease -- consider grouping with renal conditions or keeping separate as a lab-value flag.
mh_kidney atrophy,MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney removed (2011),MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney transplant secondary to nephritis,MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_nephritis,MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_polycystic kidney disease,MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_renal transplant (on dialysis),MH: Kidney/renal disease,,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_liver cancer,MH: Liver cancer,,"Cancer diagnosis, distinct from liver failure/cirrhosis -- do not merge with general liver disease group."
mh_Alcoholic Cirrhosis,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_Encephalopathy,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_biliary cirrhosis,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_encephalopathy,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_haptic encephalopathy,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_hepatic fibrosis,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver failure,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver mass,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_metabolic encephalopathy,MH: Liver disease,,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_lung cancer,MH: Lung cancer,,
mh_small cell lung cancer,MH: Lung cancer,,
mh_lung mass,MH: Lung mass (unspecified),,Not specified as cancer or benign -- keep separate from confirmed lung cancer diagnoses.
mh_lymphoma,MH: Lymphoma,,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket.
mh_mesothelioma,MH: Mesothelioma,,
mh_multi-system organ failure,MH: Multi-system organ failure,,
mh_multiple myeloma,MH: Multiple myeloma,,
mh_pre-multiple myeloma,MH: Multiple myeloma,,
mh_neurogenic bladder,MH: Neurogenic bladder,,
mh_neuropathy,MH: Neuropathy,,Nerve damage/dysfunction.
mh_neutropenic fever,MH: Neutropenic fever,,"Fever occurring with a low white-blood-cell count, usually in the context of chemotherapy or blood disorder -- related to but distinct from the general blood-abnormality group above."
mh_arrhthmia,MH: Other arrhythmia / cardiac device,,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_cardiac arrest,MH: Other arrhythmia / cardiac device,,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_implantable cardioverter-defibrillator,MH: Other arrhythmia / cardiac device,,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_pacemaker,MH: Other arrhythmia / cardiac device,,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_tachycardia,MH: Other arrhythmia / cardiac device,,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_Paget's disease,MH: Paget's disease (bone),,"Rare chronic bone disorder, distinct entity."
mh_pancreatic cancer,MH: Pancreatic cancer,,
mh_chronic pancreatitis,MH: Pancreatitis,,
mh_paraplegia,MH: Paraplegia,,
mh_peripheral vascular disease,MH: Peripheral vascular disease,,
mh_aspiration pneumonia,MH: Pneumonia,,"Acute lung infection, distinct from chronic lung disease."
mh_pneumonia,MH: Pneumonia,,"Acute lung infection, distinct from chronic lung disease."
mh_polyps removed,MH: Polyps removed (history),,Likely colon polyps (precancerous) -- distinct from confirmed colorectal cancer diagnoses.
mh_Prostate cancer,MH: Prostate condition,,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_enlarged prostate,MH: Prostate condition,,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostate cancer,MH: Prostate condition,,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostectomy,MH: Prostate condition,,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_pulmonary HTN,MH: Pulmonary vascular disease,,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease."
mh_Raynand's disease,MH: Raynaud's disease,,"""mh_Raynand's disease"" looks like a typo for ""Raynaud's disease""."
mh_shortness of breath,MH: Respiratory failure/symptoms (unspecified),,Generic respiratory symptom/failure notes without a named diagnosis.
mh_restless leg syndrome,MH: Restless leg syndrome,,
mh_rheumatic fever as child,MH: Rheumatic fever (childhood),,
mh_scleroderma,MH: Scleroderma,,
mh_possible sepsis,MH: Sepsis,,
mh_herpes zoster,MH: Shingles (herpes zoster),,
mh_sinusitis,MH: Sinusitis,,
mh_skin cancer,MH: Skin cancer,,
mh_1/2 pack day for 60 yrs; HBP,MH: Smoking history,,"Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost."
mh_smoker (1pk/day; 50yrs); HTN; alcoholic),MH: Smoking history,,"Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost."
mh_smoker; quit 30 years ago; HTN,MH: Smoking history,,"Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost."
mh_spinal cancer,MH: Spinal cancer,,
mh_scoliosis,MH: Spinal condition,,
mh_spinal stenosis,MH: Spinal condition,,
mh_staph infx. In blood,MH: Staph infection,,
mh_stomach cancer (surgery 25+ ys ago),MH: Stomach cancer,,
mh_Thyroid Cancer,MH: Thyroid disease (other),,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroidectomy,MH: Thyroid disease (other),,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroiditis,MH: Thyroid disease (other),,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_s/p tonsillectomy,MH: Tonsillectomy (history),,"s/p = ""status post,"" i.e. after/following."
mh_valve disease due to rheumatic fever as child,MH: Valvular heart disease,,Heart valve disease/replacement.
mh_vascualr surgery,"MH: Vascular surgery (history, other)",,"""mh_vascualr surgery"" looks like a typo for ""vascular surgery""."
mh_vasculitis,MH: Vasculitis,,
mh_Vertigo,MH: Vertigo,,Balance/dizziness disorder.
mh_Waldenstrom's disease,MH: Waldenstrom's disease,,"Rare blood cancer, distinct entity."
mh_Wegener's disease,MH: Wegener's disease,,Autoimmune vasculitis.
mh_-,MH: no history recorded,,Consider treating as missing data rather than a feature.
mh_N/A,MH: no history recorded,,Consider treating as missing data rather than a feature.
